hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
V43 -> V11, 87.0000000000000000, 101.0000000000000000, 53.3742331288343621, 62.0689655172413808, 46.0255251341647877, 33.7846136039021019, 50.5000114440917969, 0.0000000000000000
V11 -> V25, 101.0000000000000000, 87.0000000000000000, 61.9631901840490755, 49.5049504950495063, 28.4515321254730225, 18.0737978290298607, 29.7272324562072754, 0.0000000000000000
V25 -> V11, 87.0000000000000000, 101.0000000000000000, 53.3742331288343621, 57.4712643678160902, 21.8112580575628989, 15.1331899672069365, 29.7272324562072754, 0.0000000000000000
V11 -> V46, 101.0000000000000000, 87.0000000000000000, 61.9631901840490755, 52.4752475247524757, 44.7368562221527100, 29.6647160423783234, 45.0790137052536011, 0.0000000000000000
V46 -> V11, 87.0000000000000000, 101.0000000000000000, 53.3742331288343621, 60.9195402298850581, 39.2842007467378949, 28.4510737476434947, 45.0790137052536011, 0.0000000000000000
V11 -> V41, 101.0000000000000000, 86.0000000000000000, 61.9631901840490755, 51.4851485148514882, 42.6019489765167236, 28.0231393813641745, 42.9955214262008667, 0.0000000000000000
V41 -> V11, 86.0000000000000000, 101.0000000000000000, 52.7607361963190158, 60.4651162790697612, 36.7352646170615245, 26.5552858778209995, 42.9955214262008667, 0.0000000000000000
V11 -> V52, 101.0000000000000000, 86.0000000000000000, 61.9631901840490755, 50.4950495049504937, 37.0212614536285400, 24.0149492414426753, 37.6959353685379028, 0.0000000000000000
V52 -> V11, 86.0000000000000000, 101.0000000000000000, 52.7607361963190158, 59.3023255813953512, 30.5142068096147518, 21.7526932304827874, 37.6959353685379028, 0.0000000000000000
V11 -> V42, 101.0000000000000000, 86.0000000000000000, 61.9631901840490755, 56.4356435643564325, 67.2149608566686254, 47.1368030589741522, 69.4432497024536133, 0.0000000000000000
V42 -> V11, 86.0000000000000000, 101.0000000000000000, 52.7607361963190158, 66.2790697674418539, 70.5871617300680043, 54.4001858263052327, 69.4432497024536133, 0.0000000000000000
V11 -> V23, 101.0000000000000000, 86.0000000000000000, 61.9631901840490755, 51.4851485148514882, 42.6019489765167236, 28.0231393813641745, 42.9955214262008667, 0.0000000000000000
V23 -> V11, 86.0000000000000000, 101.0000000000000000, 52.7607361963190158, 60.4651162790697612, 36.7352646170615245, 26.5552858778209995, 42.9955214262008667, 0.0000000000000000
V11 -> V22, 101.0000000000000000, 84.0000000000000000, 61.9631901840490755, 50.4950495049504937, 44.0404534339904785, 28.8972628947839425, 44.2192554473876953, 0.0000000000000000
V22 -> V11, 84.0000000000000000, 101.0000000000000000, 51.5337423312883445, 60.7142857142857082, 38.1617583485936649, 27.8581759315064197, 44.2192554473876953, 0.0000000000000000
V11 -> V10, 101.0000000000000000, 84.0000000000000000, 61.9631901840490755, 50.4950495049504937, 44.0404534339904785, 28.8972628947839425, 44.2192554473876953, 0.0000000000000000
V10 -> V11, 84.0000000000000000, 101.0000000000000000, 51.5337423312883445, 60.7142857142857082, 38.1617583485936649, 27.8581759315064197, 44.2192554473876953, 0.0000000000000000
